role,name,poli,State,twitterName,name,userNumber,followers,,,Important Comments,,
representative,Rep. Emanuel Cleaver,D,MO-5,@RepCleaver,repcleaver,163570705,36072,,,,,
representative,Rep. Sam Graves,R,MO-6,@RepSamGraves,RepSamGraves,29766367,12332,,,,,
representative,Rep. Billy Long,R,MO-7,@USRepLong,USRepLong,1444015610,17480,,,,,
representative,Rep. Jason Smith,R,MO-8,@RepJasonSmith,RepJasonSmith,1623308912,27583,,,,,
representative,Rep. Trent Kelly,R,MS-1,@reptrentkelly,RepTrentKelly,3317799825,8077,,,,,
representative,Rep. Bennie Thompson,D,MS-2,@BennieGThompson,BennieGThompson,82453460,9375,,,,,
representative,Rep. Gregg Harper,R,MS-3,@GreggHarper,GreggHarper,23712174,28092,,,,,
representative,Rep. Steven Palazzo,R,MS-4,@CongPalazzo,CongPalazzo,299883942,14513,,,,,
representative,Rep. Ryan Zinke,R,MT-0,@RepRyanZinke,RepRyanZinke,2953494478,11324,,,,,
representative,Rep. George Butterfield,D,NC-1,@GKButterfield,GKButterfield,432676344,16391,,,,,
representative,Rep. George Holding,R,NC-2,@RepHolding,RepHolding,1058460818,14025,,,,,
representative,Rep. Walter Jones,R,NC-3,@RepWalterJones,RepWalterJones,26778110,23856,,,,,
representative,Rep. David Price,D,NC-4,@RepDavidEPrice,RepDavidEPrice,155669457,25534,,,,,
representative,Rep. Virginia Foxx,R,NC-5,@VirginiaFoxx,virginiafoxx,16256269,22056,,,,,
representative,Rep. Mark Walker,R,NC-6,@RepMarkWalker,RepMarkWalker,2966205003,11688,,,,,
representative,Rep. David Rouzer,R,NC-7,@RepDavidRouzer,RepDavidRouzer,834069080,7494,,,,,
representative,Rep. Richard Hudson,R,NC-8,@RepRichHudson,RepRichHudson,935033864,15344,,,,,
representative,Rep. Robert Pittenger,R,NC-9,@RepPittenger,RepPittenger,950328072,14176,,,,,
representative,Rep. Patrick McHenry,R,NC-10,@PatrickMcHenry,PatrickMcHenry,27676828,23658,,,,,
representative,Rep. Mark Meadows,R,NC-11,@RepMarkMeadows,RepMarkMeadows,963480595,157924,,,,,
representative,Rep. Alma Adams,D,NC-12,@RepAdams,RepAdams,2916086925,11412,,,,,
representative,Rep. Ted Budd,R,NC-13,@RepTedBudd,RepTedBudd,8.17138E+17,5811,,,,,
representative,Rep. Kevin Cramer,R,ND-0,@RepKevinCramer,RepKevinCramer,1048784496,13288,,,,,
representative,Rep. Jeff Fortenberry,R,NE-1,@JeffFortenberry,JeffFortenberry,18805303,19087,,,,,
representative,Rep. Donald Bacon,R,NE-2,@housegop,HouseGOP,15207668,591876,,,,,
representative,Rep. Adrian Smith,R,NE-3,@RepAdrianSmith,RepAdrianSmith,296245061,11155,,,,,
representative,Rep. Carol Shae-Porter,D,NH-1,@repsheaporter,RepSheaPorter,126171100,6812,,,,,
representative,Rep. Ann Kuster,D,NH-2,@RepAnnieKuster,RepAnnieKuster,1058717720,18224,,,,,
representative,Rep. Donald Norcross,D,NJ-1,@DonaldNorcross,DonaldNorcross,3122099613,8424,,,,,
representative,Rep. Frank LoBiondo,R,NJ-2,@RepLoBiondo,RepLoBiondo,241207373,16627,,,,,
representative,Rep. Tom MacArthur,R,NJ-3,@RepTomMacArthur,RepTomMacArthur,2962994194,14161,,,,,
representative,Rep. Christopher Smith,R,NJ-4,@RepChrisSmith,RepChrisSmith,1289319271,21484,,,,,
